wss_bytes,wss_kib,latency_ns
256,0.25,3.7482100995676624
320,0.3125,3.5873586986947323
384,0.375,3.6255914668314855
448,0.4375,3.593729000578927
512,0.5,3.6078523564934897
576,0.5625,3.5949335215979654
640,0.625,3.5868057439273504
704,0.6875,3.5874799542976192
768,0.75,3.595252000169403
832,0.8125,3.1365018793992685
896,0.875,3.594110298318125
1024,1.0,3.5944536123744917
1088,1.0625,3.5232941044104438
1152,1.125,3.6083658666671607
1216,1.1875,3.5941723870304467
1344,1.3125,3.5942709985147223
1408,1.375,3.5867480379476633
1536,1.5,3.590808639733495
1600,1.5625,3.582951130575339
1728,1.6875,3.593704895549437
1856,1.8125,3.611036411752428
2048,2.0,3.559640836603499
2176,2.125,3.591677151250558
2304,2.25,3.5962527241209394
2496,2.4375,3.5933214064439216
2688,2.625,3.7079130643600764
2880,2.8125,3.5869978537078278
3072,3.0,3.656402807707212
3264,3.1875,3.58688536357021
3520,3.4375,3.5950262894387284
3776,3.6875,3.5889569351954336
4096,4.0,3.5939839295271647
4352,4.25,3.596015326103239
4672,4.5625,3.5871256834096665
4992,4.875,3.594666174907263
5376,5.25,3.588093536866444
5760,5.625,3.588789660899885
6208,6.0625,3.747084467736044
6592,6.4375,3.5973922346059
7104,6.9375,3.5948772765291563
7616,7.4375,3.594854632410545
8192,8.0,3.594833449202812
8768,8.5625,3.5888144963848134
9408,9.1875,3.5935084030363256
10048,9.8125,3.5906596268239235
10752,10.5,3.1509495575287816
11584,11.3125,3.6049823970733543
12416,12.125,3.2773928549439684
13248,12.9375,3.0585053085254557
14208,13.875,3.5956157669780637
15232,14.875,3.594345504969508
16384,16.0,3.5937713669943934
17536,17.125,3.7219107819391177
18816,18.375,3.587102308835616
20160,19.6875,3.5981694391930787
21568,21.0625,3.5886362652576786
23168,22.625,3.673905250482947
24832,24.25,3.0788441097711283
26560,25.9375,3.596929125857525
28480,27.8125,3.139769937033701
30528,29.8125,3.588585863832382
32768,32.0,3.5892104032327934
35072,34.25,3.658030992880916
37632,36.75,3.5893499202216574
40320,39.375,3.6016595552809907
43200,42.1875,3.6857817254669074
46336,45.25,3.570003807917691
49664,48.5,4.581808768464617
53184,51.9375,10.59775430142021
57024,55.6875,10.873220004327905
61120,59.6875,10.632356706024748
65536,64.0,9.439208147717013
70208,68.5625,10.803715708388808
75264,73.5,10.36301952425091
80640,78.75,10.744884827325508
86464,84.4375,11.72155342034193
92672,90.5,10.790644208306515
99328,97.0,10.779444135059142
106432,103.9375,10.566979483316437
114048,111.375,10.803972828703362
122240,119.375,10.800410397526981
131072,128.0,12.018539070940289
140416,137.125,11.060551145322833
150528,147.0,8.769124120223864
161344,157.5625,10.815182397871446
172928,168.875,10.82738830825843
185344,181.0,11.100092889606413
198656,194.0,10.446923288260544
212864,207.875,10.796368057127127
228160,222.8125,10.28909159017276
244544,238.8125,10.962663542387501
262144,256.0,10.796387779423982
280896,274.3125,10.435164416602275
301120,294.0625,10.787320636058714
322688,315.125,11.113973734315202
345856,337.75,10.792761068168963
370688,362.0,10.784610646379736
397312,388.0,10.876360962715939
425792,415.8125,11.181502148291596
456384,445.6875,10.860609421627673
489152,477.6875,11.89915124261115
524288,512.0,11.651111950074496
561856,548.6875,12.295145014788385
602240,588.125,12.538430503327524
645440,630.3125,13.108553895349237
691776,675.5625,12.981931636351478
741440,724.0625,13.643194683962326
794624,776.0,13.627562937566069
851648,831.6875,13.791961430051158
912832,891.4375,13.740972718581794
978304,955.375,13.942761764082382
1048576,1024.0,19.029361990097627
1123776,1097.4375,15.60496424758388
1204480,1176.25,14.862303628574873
1290944,1260.6875,23.70870262969874
1383552,1351.125,35.064459305714905
1482880,1448.125,37.440288995888395
1589312,1552.0625,60.855141820188734
1703360,1663.4375,63.63664235619636
1825664,1782.875,53.30156567431192
1956672,1910.8125,62.27104495600946
2097152,2048.0,64.36142215651219
2247616,2194.9375,55.36863185038737
2408960,2352.5,55.95310284814344
2581888,2521.375,58.58347580608313
2767168,2702.3125,57.18811965130822
2965760,2896.25,60.585659277782526
3178688,3104.1875,62.13860461943945
3406784,3326.9375,60.88810873506518
3651328,3565.75,76.47725131783865
3913408,3821.6875,67.89674174881617
4194304,4096.0,62.47645121684436
4495296,4389.9375,67.66457671388154
4817984,4705.0625,69.95723966958343
5163776,5042.75,75.54870659005952
5534400,5404.6875,65.29897486076601
5931584,5792.5625,79.13725081793187
6357376,6208.375,77.95038344594477
6813632,6653.9375,81.97333390616913
7302656,7131.5,72.59826047645855
7826816,7643.375,104.13974415633444
8388608,8192.0,100.26830987647162
8990656,8779.9375,64.23713821564941
9635968,9410.125,104.54292218334125
10327552,10085.5,114.9414349115891
11068800,10809.375,146.35750325654183
11863232,11585.1875,128.17539301727544
12714752,12416.75,144.07950598766178
13627328,13307.9375,107.97462465023554
14605376,14263.0625,157.7523638194985
15653696,15286.8125,170.88909728685647
16777216,16384.0,188.23082396739767
17981312,17559.875,164.81176234522516
19271936,18820.25,199.76687258977594
20655168,20171.0625,165.5481185642705
22137664,21618.8125,154.00423276938994
23726528,23170.4375,171.33429351845055
25429504,24833.5,204.6838237273774
27254656,26615.875,165.5952453331255
29210816,28526.1875,194.09353244114325
31307392,30573.625,205.19684948588232
33554432,32768.0,215.73645259603472
35962688,35119.8125,213.94960479495737
38543872,37640.5,184.96803103347375
41310336,40342.125,202.79821354064651
44275328,43237.625,214.486376199264
47453120,46340.9375,210.58546315351634
50859008,49667.0,184.75936416328867
54509312,53231.75,186.85103693381762
58421632,57052.375,187.06927957169296
62614784,61147.25,187.19481787749933
67108864,65536.0,219.94994537067114
71925440,70239.6875,187.15800159873748
77087808,75281.0625,229.19103994204315
82620672,80684.25,228.5763865255444
88550656,86475.25,190.60851157098043
94906240,92681.875,173.937601279626
101718016,99334.0,201.1039233130493
109018624,106463.5,237.36067581375278
116843264,114104.75,215.54406250328262
125229568,122294.5,205.30031786068858
134217728,131072.0,219.58084185457267
