wss_bytes,wss_kib,latency_ns
256,0.25,1.5658647091424613
320,0.3125,1.5687514525133843
384,0.375,1.5686455370809997
512,0.5,1.6804133449432685
576,0.5625,1.6198129172403604
640,0.625,1.6164550328081402
768,0.75,1.5687419566470326
832,0.8125,1.5679187380794644
1024,1.0,1.5744343632992603
1152,1.125,1.5688675942633785
1344,1.3125,1.6262942112510386
1536,1.5,1.6709481575443765
1728,1.6875,1.5680604456234823
2048,2.0,1.568098429088889
2304,2.25,1.5680721328436074
2688,2.625,1.569765318859245
3072,3.0,1.5695958541674297
3520,3.4375,1.583334181424596
4096,4.0,1.6384087453620608
4672,4.5625,1.5681546738357417
5376,5.25,1.6205404466931537
6208,6.0625,1.5658603264349142
7104,6.9375,1.5699420880636386
8192,8.0,1.568836184859292
9408,9.1875,1.5692474289174474
10752,10.5,1.5686718333262815
12416,12.125,1.5658617873374299
14208,13.875,1.6323598784960147
16384,16.0,1.5658669004962347
18816,18.375,1.5658763963625866
21568,21.0625,1.5658566741786253
24832,24.25,1.5681882745936015
28480,27.8125,1.620722329056352
32768,32.0,1.5699472012224434
37632,36.75,1.5690560506878972
43200,42.1875,1.5701831369787207
49664,48.5,1.9784944333338452
57024,55.6875,4.7081571830667865
65536,64.0,4.680126116047765
75264,73.5,4.701737977413023
86464,84.4375,4.70356264465507
99328,97.0,4.6971003423770945
114048,111.375,4.707190796052684
131072,128.0,4.698144157224526
150528,147.0,4.758169719787526
172928,168.875,4.707510733703612
198656,194.0,4.7028307324947285
228160,222.8125,4.708534095915824
262144,256.0,4.7217494200723875
301120,294.0625,4.75398788633648
345856,337.75,4.703315021678667
397312,388.0,4.704960728362546
456384,445.6875,4.735463642438046
524288,512.0,4.709256512209812
602240,588.125,4.728366578017021
691776,675.5625,4.703314291227409
794624,776.0,4.713158582829112
912832,891.4375,4.8564168748674605
1048576,1024.0,4.710162271769515
1204480,1176.25,4.763054977799857
1383552,1351.125,8.813964536747386
1589312,1552.0625,15.218941730459441
1825664,1782.875,17.318341186439685
2097152,2048.0,17.736330961960984
2408960,2352.5,22.62350129568538
2767168,2702.3125,19.98054603206126
3178688,3104.1875,22.81176488107208
3651328,3565.75,20.18903727367964
4194304,4096.0,21.267737742733544
4817984,4705.0625,21.31891973191806
5534400,5404.6875,21.173559201159694
6357376,6208.375,21.53832537623086
7302656,7131.5,24.011247656961068
8388608,8192.0,21.880964721799998
9635968,9410.125,22.480794738939817
11068800,10809.375,23.19028895460333
12714752,12416.75,26.318861747579753
14605376,14263.0625,22.787211849719995
16777216,16384.0,90.4291323456316
19271936,18820.25,28.58358171778661
22137664,21618.8125,52.23260125583471
25429504,24833.5,73.95539667455478
29210816,28526.1875,120.48051536955839
33554432,32768.0,123.69609315508617
38543872,37640.5,123.69945456318816
44275328,43237.625,123.22519981094851
50859008,49667.0,124.5286922573495
58421632,57052.375,113.27309146068957
67108864,65536.0,119.40022786250402
77087808,75281.0625,120.77696221453597
88550656,86475.25,126.26844820459418
101718016,99334.0,125.70729126082894
116843264,114104.75,121.78374783982248
134217728,131072.0,123.72962351570614
154175680,150562.1875,123.15350254747311
177101312,172950.5,127.35929297364785
203436032,198668.0,125.40739007051668
233686592,228209.5625,125.26056178926211
268435456,262144.0,125.38469111506696
308351360,301124.375,128.54171843437695
354202688,345901.0625,127.32811439215887
406872064,397336.0,130.18959866728
467373248,456419.1875,131.34891082408336
536870912,524288.0,129.78458170609767
