wss_bytes,wss_kib,latency_ns
256,0.25,1.5687860713128219
320,0.3125,1.569141806275304
384,0.375,1.5686640841696298
448,0.4375,1.568179787906538
512,0.5,1.569463209526828
576,0.5625,1.568675041098659
640,0.625,1.5691943995346442
704,0.6875,1.57003881353183
768,0.75,1.567689647947964
832,0.8125,1.5741980637913238
896,0.875,1.5681213509517156
1024,1.0,1.5804252517895998
1088,1.0625,1.6206291462455673
1152,1.125,1.6234363114628547
1216,1.1875,1.6294260993321643
1344,1.3125,1.6847702783207148
1408,1.375,1.5659270432981294
1536,1.5,1.5658861374297537
1600,1.5625,1.5681206204897802
1728,1.6875,1.5658919811252359
1856,1.8125,1.5671848987506845
2048,2.0,1.565902938054265
2176,2.125,1.5659124340594237
2304,2.25,1.6220710781058132
2496,2.4375,1.5661060064722734
2688,2.625,1.5659168168310356
2880,2.8125,1.6007803040781587
3072,3.0,1.5691812512198091
3264,3.1875,1.5658773718865302
3520,3.4375,1.5659168168310356
3776,3.6875,1.569069490543711
4096,4.0,1.5688094460947508
4352,4.25,1.5678364707969557
4672,4.5625,1.6208789642274337
4992,4.875,1.6199490861838202
5376,5.25,1.5658846765058831
5760,5.625,1.619775236243223
6208,6.0625,1.5658912506633007
6592,6.4375,1.568218502389108
7104,6.9375,1.5717342156836187
7616,7.4375,1.6193245412291541
8192,8.0,1.6296057929682437
8768,8.5625,1.567995711498847
9408,9.1875,1.5659321565316764
10048,9.8125,1.5693470660791182
10752,10.5,1.5658883288155594
11584,11.3125,1.6195203050278097
12416,12.125,1.5714069687366123
13248,12.9375,1.5658788328104007
14208,13.875,1.5671929338319726
15232,14.875,1.651857854902729
16384,16.0,1.6925862210282285
17536,17.125,1.5659211996026472
18816,18.375,1.620179181693434
20160,19.6875,1.5699854898105543
21568,21.0625,1.5690987090211224
23168,22.625,1.5680892106265631
24832,24.25,1.569782421392546
26560,25.9375,1.5682345725516842
28480,27.8125,1.635052847619639
30528,29.8125,1.5691841730675504
32768,32.0,1.629492571368275
35072,34.25,1.565876641424595
37632,36.75,1.5689854874211537
40320,39.375,1.6937754130588671
43200,42.1875,1.565900016206524
46336,45.25,1.5699811070389427
49664,48.5,2.030363507293434
53184,51.9375,4.658602073533621
57024,55.6875,4.715859332330674
61120,59.6875,4.7048797589814555
65536,64.0,4.6811499725518955
70208,68.5625,4.692228888724312
75264,73.5,4.696876818018509
80640,78.75,4.689414418887672
86464,84.4375,4.7420398185531045
92672,90.5,4.6972551973009855
99328,97.0,4.700766527823885
106432,103.9375,4.709899493400711
114048,111.375,4.755337878084907
122240,119.375,4.755004056980483
131072,128.0,4.708101826577983
140416,137.125,4.695919182421355
150528,147.0,4.702015617733216
161344,157.5625,4.705816211182486
172928,168.875,4.704862958356944
185344,181.0,4.704744623523428
198656,194.0,4.702193119983489
212864,207.875,4.829414753403755
228160,222.8125,4.702581725733059
244544,238.8125,4.705317305680689
262144,256.0,4.7042931980474245
280896,274.3125,4.7113253550983805
301120,294.0625,4.704505032008656
322688,315.125,4.770440178596855
345856,337.75,4.702678146708516
370688,362.0,4.7018322717874605
397312,388.0,4.703989325882347
425792,415.8125,4.705665005561883
456384,445.6875,4.707038274000213
489152,477.6875,4.707517457029757
524288,512.0,4.7033319101405935
561856,548.6875,4.707108398346
602240,588.125,4.707321693231102
645440,630.3125,4.713849831546714
691776,675.5625,4.7112325864326
741440,724.0625,4.725595659466044
794624,776.0,4.707448063145906
851648,831.6875,4.708047772394772
912832,891.4375,4.707361868637543
978304,955.375,4.703995169577829
1048576,1024.0,4.70841957751983
1123776,1097.4375,4.744036171022229
1204480,1176.25,4.749987974870904
1290944,1260.6875,4.886206707948034
1383552,1351.125,8.66361310400688
1482880,1448.125,13.026360562664982
1589312,1552.0625,15.171408785183441
1703360,1663.4375,17.306770351978134
1825664,1782.875,19.896504078223817
1956672,1910.8125,17.462054141566114
2097152,2048.0,19.981396903418382
2247616,2194.9375,18.054192152473163
2408960,2352.5,18.44056049713524
2581888,2521.375,18.81504057380061
2767168,2702.3125,19.143148004966555
2965760,2896.25,20.10078433258275
3178688,3104.1875,20.93923702991452
3406784,3326.9375,19.942740857803276
3651328,3565.75,20.1284600743867
3913408,3821.6875,20.275349395414427
4194304,4096.0,20.53884746840471
4495296,4389.9375,20.805345548563196
4817984,4705.0625,20.785226435479736
5163776,5042.75,20.937990131390993
5534400,5404.6875,21.704361575411102
5931584,5792.5625,21.189236896802733
6357376,6208.375,21.324933349596137
6813632,6653.9375,21.441613686828354
7302656,7131.5,21.499340632649794
7826816,7643.375,21.764998681582707
8388608,8192.0,21.699212549229305
8990656,8779.9375,21.810393406883733
9635968,9410.125,22.425895653841895
10327552,10085.5,21.92389818492504
11068800,10809.375,24.025155196721215
11863232,11585.1875,22.147459113824354
12714752,12416.75,22.56852755958833
13627328,13307.9375,42.83963389065503
14605376,14263.0625,29.607179152117403
15653696,15286.8125,22.525113153955317
16777216,16384.0,101.28599438623274
17981312,17559.875,27.334069832899655
19271936,18820.25,101.20571866753814
20655168,20171.0625,112.47974450484199
22137664,21618.8125,50.981727529932684
23726528,23170.4375,101.36140439219156
25429504,24833.5,72.21202504847248
27254656,26615.875,120.43593578287614
29210816,28526.1875,81.55430282881031
31307392,30573.625,85.35454832323842
33554432,32768.0,88.14313792797421
35962688,35119.8125,94.97776458426443
38543872,37640.5,91.0050801794652
41310336,40342.125,95.82287416231581
44275328,43237.625,122.40114345813443
47453120,46340.9375,124.99510200994466
50859008,49667.0,122.61144154115402
54509312,53231.75,105.74068243862084
58421632,57052.375,122.46673599180001
62614784,61147.25,109.09915411381994
67108864,65536.0,111.59207160465463
71925440,70239.6875,112.22697213556147
77087808,75281.0625,113.33352490738353
82620672,80684.25,115.66127563000045
88550656,86475.25,115.63659240812986
94906240,92681.875,120.10725365641163
101718016,99334.0,126.29597781186942
109018624,106463.5,126.1462403284483
116843264,114104.75,120.79212892323623
125229568,122294.5,127.30350021558601
134217728,131072.0,120.21765457761721
143850944,140479.4375,127.5656567039244
154175680,150562.1875,128.20332961179884
165241344,161368.5,123.47706841020202
177101312,172950.5,122.60293009071498
189812480,185363.75,123.2906820992562
203436032,198668.0,122.31786923793388
218037312,212927.0625,124.73608091446253
233686592,228209.5625,124.31759945435515
250459136,244589.0,127.26155088233568
268435456,262144.0,128.7961334387599
287701952,280958.9375,126.86234521700749
308351360,301124.375,125.001670482589
330482752,322737.0625,124.95295195858444
354202688,345901.0625,125.46215934767056
379625024,370727.5625,125.36151657615069
406872064,397336.0,125.74666349714923
436074624,425854.125,128.15990063659086
467373248,456419.1875,128.5448083313056
500918272,489178.0,126.36902710986082
536870912,524288.0,129.13752715075896
