wss_bytes,wss_kib,latency_ns
514,0.501953125,1.781
1028,1.00390625,1.815
2045,1.9970703125,1.923
3072,3.0,1.756
4100,4.00390625,2.075
6145,6.0009765625,1.129
8189,7.9970703125,1.775
10245,10.0048828125,1.818
12289,12.0009765625,1.854
14334,13.998046875,1.897
16379,15.9951171875,1.946
18434,18.001953125,1.919
20479,19.9990234375,2.231
22523,21.9951171875,2.292
24579,24.0029296875,2.432
26623,25.9990234375,2.073
28668,27.99609375,1.901
30723,30.0029296875,2.48
32768,32.0,1.831
36868,36.00390625,2.886
40957,39.9970703125,2.292
45057,44.0009765625,2.303
49157,48.0048828125,1.99
53247,51.9990234375,5.519
57347,56.0029296875,6.01
61436,59.99609375,6.044
65536,64.0,5.984
73725,71.9970703125,5.205
81915,79.9951171875,5.3
90115,88.0029296875,5.378
98304,96.0,5.201
106493,103.9970703125,5.218
114693,112.0048828125,5.329
122883,120.0029296875,5.393
131072,128.0,5.41
147451,143.9951171875,5.361
163840,160.0,5.428
180229,176.0048828125,5.583
196608,192.0,5.438
212987,207.9951171875,5.988
229376,224.0,5.654
245765,240.0048828125,5.454
262144,256.0,5.504
294912,288.0,5.812
327680,320.0,6.073
360448,352.0,6.36
393216,384.0,6.781
425984,416.0,7.282
458752,448.0,7.015
491520,480.0,7.522
524288,512.0,7.509
589824,576.0,8.124
655360,640.0,8.511
720896,704.0,9.255
786432,768.0,10.493
851968,832.0,9.121
917504,896.0,10.826
983040,960.0,9.437
1048576,1024.0,13.0
1179648,1152.0,14.158
1310720,1280.0,17.182
1441792,1408.0,17.949
1572864,1536.0,20.288
1703936,1664.0,21.999
1835008,1792.0,22.28
1966080,1920.0,23.745
2097152,2048.0,25.834
2359296,2304.0,26.669
2621440,2560.0,28.632
2883584,2816.0,30.026
3145728,3072.0,30.228
3407872,3328.0,30.731
3670016,3584.0,31.505
3932160,3840.0,34.147
4194304,4096.0,35.352
4718592,4608.0,38.485
5242880,5120.0,49.14
5767168,5632.0,61.019
6291456,6144.0,67.429
6815744,6656.0,83.813
7340032,7168.0,100.38
7864320,7680.0,112.117
8388608,8192.0,136.987
9437184,9216.0,146.771
10485760,10240.0,151.297
11534336,11264.0,155.589
12582912,12288.0,161.654
13631488,13312.0,159.339
14680064,14336.0,198.014
15728640,15360.0,192.186
16777216,16384.0,184.608
18874368,18432.0,159.169
20971520,20480.0,149.149
23068672,22528.0,117.293
25165824,24576.0,114.299
27262976,26624.0,119.968
29360128,28672.0,144.253
31457280,30720.0,135.437
33554432,32768.0,135.809
37748736,36864.0,144.191
41943040,40960.0,140.454
46137344,45056.0,151.7
50331648,49152.0,149.407
54525952,53248.0,150.274
58720256,57344.0,158.825
62914560,61440.0,160.125
67108864,65536.0,156.714
75497472,73728.0,160.2
83886080,81920.0,166.866
92274688,90112.0,165.376
100663296,98304.0,164.508
109051904,106496.0,162.11
117440512,114688.0,161.567
125829120,122880.0,173.831
134217728,131072.0,173.628
150994944,147456.0,172.35
167772160,163840.0,166.182
184549376,180224.0,161.964
201326592,196608.0,164.394
218103808,212992.0,162.636
234881024,229376.0,164.48
251658240,245760.0,158.564
268435456,262144.0,158.25
301989888,294912.0,158.967
335544320,327680.0,157.007
369098752,360448.0,164.108
402653184,393216.0,161.169
436207616,425984.0,164.709
469762048,458752.0,161.596
503316480,491520.0,160.877
536870912,524288.0,156.572
