wss_bytes,wss_kib,latency_ns
514,0.501953125,1.616
1028,1.00390625,1.614
2045,1.9970703125,1.608
3072,3.0,1.632
4100,4.00390625,1.621
6145,6.0009765625,1.612
8189,7.9970703125,1.654
10245,10.0048828125,1.609
12289,12.0009765625,1.678
14334,13.998046875,1.629
16379,15.9951171875,1.65
18434,18.001953125,1.63
20479,19.9990234375,1.61
22523,21.9951171875,1.606
24579,24.0029296875,1.615
26623,25.9990234375,1.615
28668,27.99609375,1.631
30723,30.0029296875,1.624
32768,32.0,1.62
36868,36.00390625,1.608
40957,39.9970703125,1.621
45057,44.0009765625,1.624
49157,48.0048828125,1.622
53247,51.9990234375,3.0
57347,56.0029296875,4.378
61436,59.99609375,3.864
65536,64.0,3.386
73725,71.9970703125,4.344
81915,79.9951171875,3.925
90115,88.0029296875,3.819
98304,96.0,3.734
106493,103.9970703125,3.889
114693,112.0048828125,3.607
122883,120.0029296875,3.613
131072,128.0,3.301
147451,143.9951171875,3.107
163840,160.0,3.617
180229,176.0048828125,2.726
196608,192.0,2.901
212987,207.9951171875,3.029
229376,224.0,3.395
245765,240.0048828125,3.556
262144,256.0,2.593
294912,288.0,2.845
327680,320.0,2.82
360448,352.0,2.969
393216,384.0,3.751
425984,416.0,2.241
458752,448.0,3.266
491520,480.0,2.527
524288,512.0,3.682
589824,576.0,3.312
655360,640.0,2.106
720896,704.0,3.457
786432,768.0,3.751
851968,832.0,2.973
917504,896.0,3.327
983040,960.0,2.679
1048576,1024.0,3.387
1179648,1152.0,3.121
1310720,1280.0,3.345
1441792,1408.0,3.138
1572864,1536.0,3.115
1703936,1664.0,3.765
1835008,1792.0,5.293
1966080,1920.0,4.078
2097152,2048.0,3.58
2359296,2304.0,3.55
2621440,2560.0,3.806
2883584,2816.0,3.959
3145728,3072.0,5.492
3407872,3328.0,4.023
3670016,3584.0,4.202
3932160,3840.0,4.31
4194304,4096.0,6.172
4718592,4608.0,6.288
5242880,5120.0,5.292
5767168,5632.0,5.264
6291456,6144.0,4.378
6815744,6656.0,4.306
7340032,7168.0,4.858
7864320,7680.0,5.551
8388608,8192.0,5.599
9437184,9216.0,4.772
10485760,10240.0,5.321
11534336,11264.0,5.661
12582912,12288.0,6.003
13631488,13312.0,6.593
14680064,14336.0,8.802
15728640,15360.0,6.42
16777216,16384.0,7.702
18874368,18432.0,8.828
20971520,20480.0,9.042
23068672,22528.0,8.833
25165824,24576.0,9.484
27262976,26624.0,9.209
29360128,28672.0,9.063
31457280,30720.0,9.159
33554432,32768.0,10.3
37748736,36864.0,9.942
41943040,40960.0,12.047
46137344,45056.0,11.735
50331648,49152.0,10.958
54525952,53248.0,11.828
58720256,57344.0,15.377
62914560,61440.0,15.017
67108864,65536.0,13.369
75497472,73728.0,15.846
83886080,81920.0,13.106
92274688,90112.0,16.844
100663296,98304.0,15.881
109051904,106496.0,15.751
117440512,114688.0,15.362
125829120,122880.0,13.914
134217728,131072.0,18.247
150994944,147456.0,13.888
167772160,163840.0,11.487
184549376,180224.0,15.125
