wss_bytes,wss_kib,latency_ns,run
256,0.25,1.5792271478276183,0
320,0.3125,1.576522260043297,0
384,0.375,1.5788180910738456,0
448,0.4375,1.5785763093140266,0
512,0.5,1.5849605165068343,0
576,0.5625,1.5827808283760176,0
640,0.625,1.580114654891607,0
704,0.6875,1.5763264971682773,0
768,0.75,1.5795186007646813,0
832,0.8125,1.5856040504355373,0
896,0.875,1.576346950005966,0
1024,1.0,1.7368396368901529,0
1088,1.0625,1.6627346231933149,0
1152,1.125,1.6354958261429935,0
1216,1.1875,1.6693102105102093,0
1344,1.3125,1.7719323236129079,0
1408,1.375,1.5794996088439703,0
1536,1.5,1.5795091048043257,0
1600,1.5625,2.0197359832143875,0
1728,1.6875,1.5795690024004139,0
1856,1.8125,1.5833301331596552,0
2048,2.0,1.5761058987046357,0
2176,2.125,1.6028377575636743,0
2304,2.25,1.6384863231964668,0
2496,2.4375,1.5769707615554691,0
2688,2.625,1.5789868269847769,0
2880,2.8125,1.877786715528899,0
3072,3.0,1.5833031061955665,0
3264,3.1875,1.5789342339735775,0
3520,3.4375,1.5787779158569573,0
3776,3.6875,1.5771519152607112,0
4096,4.0,1.5765010767471195,0
4352,4.25,1.5867895845629891,0
4672,4.5625,1.6383424228741574,0
4992,4.875,1.6846418037333037,0
5376,5.25,1.5875529136838682,0
5760,5.625,1.6723430741560374,0
6208,6.0625,1.5851073386630992,0
6592,6.4375,1.5800248084974748,0
7104,6.9375,1.576516416375386,0
7616,7.4375,1.7847986194360337,0
8192,8.0,1.7616255543348163,0
8768,8.5625,1.5795273662665479,0
9408,9.1875,1.5769378909234695,0
10048,9.8125,1.5769035593744922,0
10752,10.5,1.5769546914687138,0
11584,11.3125,1.6408493564079925,0
12416,12.125,1.5889838818635835,0
13248,12.9375,1.5775492846786618,0
14208,13.875,1.5799466494391647,0
15232,14.875,1.6469209273675598,0
16384,16.0,1.7487731372229793,0
17536,17.125,1.5862293229020183,0
18816,18.375,1.6398391323178718,0
20160,19.6875,1.5811292617326609,0
21568,21.0625,1.577322842547109,0
23168,22.625,1.8201338183770968,0
24832,24.25,1.6413657905596302,0
26560,25.9375,1.591916672696435,0
28480,27.8125,1.7574005824351366,0
30528,29.8125,1.592675619066381,0
32768,32.0,1.7905685110396938,0
35072,34.25,1.5826106315481088,0
37632,36.75,1.6220210583986312,0
40320,39.375,1.6811312202357482,0
43200,42.1875,1.6435535137338249,0
46336,45.25,1.5964878819198438,0
49664,48.5,2.0551770986363382,0
53184,51.9375,4.667629013482321,0
57024,55.6875,4.755257005183787,0
61120,59.6875,4.741362223808319,0
65536,64.0,4.738174502962848,0
70208,68.5625,4.738776400757685,0
75264,73.5,4.746307427778034,0
80640,78.75,4.7366836371870455,0
86464,84.4375,4.7911933714611985,0
92672,90.5,4.7467719993769615,0
99328,97.0,4.742677049088303,0
106432,103.9375,4.830266326489858,0
114048,111.375,4.749675571870259,0
122240,119.375,4.758736178966321,0
131072,128.0,4.7434885884694475,0
140416,137.125,4.742850898208656,0
150528,147.0,4.749983825352565,0
161344,157.5625,4.751105809591484,0
172928,168.875,4.750021809193987,0
185344,181.0,4.750061984410875,0
198656,194.0,4.747597417469396,0
212864,207.875,4.749817280817101,0
228160,222.8125,4.750663151747223,0
244544,238.8125,4.750481267583493,0
262144,256.0,4.765848653272542,0
280896,274.3125,4.754673368851172,0
301120,294.0625,4.749271628325908,0
322688,315.125,4.749511949168749,0
345856,337.75,4.746721597741229,0
370688,362.0,4.8906986181918475,0
397312,388.0,4.752215376036093,0
425792,415.8125,4.753007193038038,0
456384,445.6875,4.770451272210972,0
489152,477.6875,4.750996971276641,0
524288,512.0,4.749945841511144,0
561856,548.6875,4.759268683204715,0
602240,588.125,4.7514323245360135,0
645440,630.3125,4.750669725873624,0
691776,675.5625,4.9004955274447015,0
741440,724.0625,4.755423549719252,0
794624,776.0,5.044116814611235,0
851648,831.6875,4.762197091286633,0
912832,891.4375,4.763522142985461,0
978304,955.375,4.839912030835514,0
1048576,1024.0,4.848174246803231,0
1123776,1097.4375,5.123353299192453,0
1204480,1176.25,5.327141721629513,0
1290944,1260.6875,6.188348627726148,0
1383552,1351.125,10.922111161416163,0
1482880,1448.125,14.839958867612525,0
1589312,1552.0625,17.555769197717996,0
1703360,1663.4375,20.231656319113753,0
1825664,1782.875,22.103156708887354,0
1956672,1910.8125,22.118912698492487,0
2097152,2048.0,22.633381916795297,0
2247616,2194.9375,22.71629991216047,0
2408960,2352.5,22.86215932413693,0
2581888,2521.375,23.50163774730962,0
2767168,2702.3125,22.85756400978339,0
2965760,2896.25,22.784498438516223,0
3178688,3104.1875,22.83802278428888,0
3406784,3326.9375,22.925820972818254,0
3651328,3565.75,22.87775315195753,0
3913408,3821.6875,22.937395818033043,0
4194304,4096.0,22.89094888455914,0
4495296,4389.9375,22.909531018057752,0
4817984,4705.0625,23.984989433986158,0
5163776,5042.75,29.872286900105458,0
5534400,5404.6875,22.923029160473757,0
5931584,5792.5625,23.11325589060628,0
6357376,6208.375,23.81298472131723,0
6813632,6653.9375,23.059598601388647,0
7302656,7131.5,27.76072498025401,0
7826816,7643.375,26.67121984758445,0
8388608,8192.0,29.26589970739599,0
8990656,8779.9375,32.56001810697922,0
9635968,9410.125,23.224385282508052,0
10327552,10085.5,23.002947751073954,0
11068800,10809.375,38.984024844348944,0
11863232,11585.1875,23.170718362897137,0
12714752,12416.75,126.83855357387321,0
13627328,13307.9375,31.607232909108276,0
14605376,14263.0625,93.59111043941344,0
15653696,15286.8125,89.8329244147042,0
16777216,16384.0,117.04066170257465,0
17981312,17559.875,94.00448003301962,0
19271936,18820.25,120.40846768667707,0
20655168,20171.0625,119.1339562165561,0
22137664,21618.8125,117.41135270747407,0
23726528,23170.4375,62.961659128557486,0
25429504,24833.5,116.09545544354054,0
27254656,26615.875,123.13143560993886,0
29210816,28526.1875,119.63233237178645,0
31307392,30573.625,112.77139767219958,0
33554432,32768.0,114.30632237982563,0
35962688,35119.8125,119.97291204844507,0
38543872,37640.5,121.53376040371481,0
41310336,40342.125,121.66690370454276,0
