wss_bytes,wss_kib,latency_ns
256,0.25,3.6894911561078176
320,0.3125,3.6057463795798266
384,0.375,3.6142949998518556
448,0.4375,3.6083548665482463
512,0.5,3.6034081642939366
576,0.5625,4.163289833471367
640,0.625,3.628820276627837
704,0.6875,3.571473738842977
768,0.75,3.4685754655916767
832,0.8125,3.631305315179101
896,0.875,3.631805683023785
1024,1.0,3.6381395364270808
1088,1.0625,3.6682923601653616
1152,1.125,3.659311305201284
1216,1.1875,3.610488551912221
1344,1.3125,3.584471615380659
1408,1.375,3.655657524239078
1536,1.5,3.6022883629714535
1600,1.5625,3.6784589582125378
1728,1.6875,3.624978766415874
1856,1.8125,3.618769091893741
2048,2.0,3.6892340327774105
2176,2.125,3.6268494847373867
2304,2.25,3.596243773314866
2496,2.4375,3.5919347661385266
2688,2.625,3.5655073088351212
2880,2.8125,3.6701718440549564
3072,3.0,3.6594851556349113
3264,3.1875,3.611730340723846
3520,3.4375,3.591123951090936
3776,3.6875,3.6101342768689046
4096,4.0,3.670716770204058
4352,4.25,3.6050064195408993
4672,4.5625,3.6488247639191123
4992,4.875,3.5930370363248456
5376,5.25,3.6174958931298216
5760,5.625,2.697632795814362
6208,6.0625,3.592898978627553
6592,6.4375,2.7826113260499032
7104,6.9375,3.7104605863521267
7616,7.4375,3.7168441113078874
8192,8.0,3.5726731607422058
8768,8.5625,3.574646874488683
9408,9.1875,3.6205061353020023
10048,9.8125,3.680148521460355
10752,10.5,3.6887059073004664
11584,11.3125,3.6114089365608373
12416,12.125,3.641021216934058
13248,12.9375,3.69325888945509
14208,13.875,3.605191957398636
15232,14.875,3.5904073659002274
16384,16.0,3.598973517308421
17536,17.125,3.4354759500498098
18816,18.375,3.6892471811295335
20160,19.6875,3.5250958485848023
21568,21.0625,3.6096587448004525
23168,22.625,3.56360152824128
24832,24.25,3.644966453034992
26560,25.9375,3.5832999511136903
28480,27.8125,3.6826876143481253
30528,29.8125,3.620879402409497
32768,32.0,3.644596838247532
35072,34.25,3.735339459961035
37632,36.75,3.7094576592707376
40320,39.375,3.706942671695193
43200,42.1875,3.7715405256759373
46336,45.25,3.7011654318651086
49664,48.5,4.76796939926018
53184,51.9375,10.606416269405823
57024,55.6875,11.113713295658973
61120,59.6875,10.863627985957756
65536,64.0,10.97066579873581
70208,68.5625,10.98619400259318
75264,73.5,10.698733041054064
80640,78.75,10.842396319134993
86464,84.4375,10.41141013721224
92672,90.5,11.017681384071954
99328,97.0,10.862772612605749
106432,103.9375,11.024816556490752
114048,111.375,10.469828996159139
122240,119.375,10.977926610963783
131072,128.0,11.0082328321435
140416,137.125,10.808682483363375
150528,147.0,11.016486344956768
161344,157.5625,11.02510362884544
172928,168.875,11.066994278709606
185344,181.0,10.092709421492668
198656,194.0,11.026777852349113
212864,207.875,10.813866586419906
228160,222.8125,10.901024090787846
244544,238.8125,10.822215059554063
262144,256.0,11.055840093325184
280896,274.3125,10.915817447854337
301120,294.0625,11.031879412972872
322688,315.125,11.011937015122177
345856,337.75,10.857535916140725
370688,362.0,11.088525435775173
397312,388.0,10.922370440459684
425792,415.8125,10.91595988833567
456384,445.6875,11.09357659438246
489152,477.6875,11.083924242996098
524288,512.0,11.064884698657856
561856,548.6875,10.086585211259335
602240,588.125,11.05430684937483
645440,630.3125,11.586739142103289
691776,675.5625,10.953587550255929
741440,724.0625,11.116863056456461
794624,776.0,11.158251147083924
851648,831.6875,11.352809504841314
912832,891.4375,11.798415923860938
978304,955.375,11.90475176072842
1048576,1024.0,12.750285032100027
1123776,1097.4375,16.487994117299245
1204480,1176.25,23.87677998695066
1290944,1260.6875,38.475721136165205
1383552,1351.125,49.47201307318892
1482880,1448.125,54.62553087129048
1589312,1552.0625,61.2472331125127
1703360,1663.4375,64.96431827694285
1825664,1782.875,60.740365599095576
1956672,1910.8125,65.32139903250972
2097152,2048.0,67.81410526445363
2247616,2194.9375,68.4238440239538
2408960,2352.5,68.91909569873418
2581888,2521.375,69.33309055739387
2767168,2702.3125,65.38046143024664
2965760,2896.25,77.5105825205409
3178688,3104.1875,80.77811164706644
3406784,3326.9375,97.29697882561472
3651328,3565.75,45.01715414860397
3913408,3821.6875,162.57018549527328
4194304,4096.0,90.74814329093064
4495296,4389.9375,169.97914312847354
4817984,4705.0625,170.8083067014519
5163776,5042.75,173.96724358779284
5534400,5404.6875,170.88201271113388
5931584,5792.5625,172.78694231440724
6357376,6208.375,174.5956946437562
6813632,6653.9375,172.0220237812943
7302656,7131.5,173.86287416003177
7826816,7643.375,170.10870479890244
8388608,8192.0,173.5370952480859
8990656,8779.9375,172.7622036876257
9635968,9410.125,172.50552534544042
10327552,10085.5,174.2964841970585
11068800,10809.375,173.206365715752
11863232,11585.1875,181.8534793935655
12714752,12416.75,172.56379508983855
13627328,13307.9375,177.60190149582317
14605376,14263.0625,173.60275075066124
15653696,15286.8125,174.1348433930851
16777216,16384.0,177.41928792244573
17981312,17559.875,175.27340346614048
19271936,18820.25,172.69400744308803
20655168,20171.0625,168.33821684808208
22137664,21618.8125,174.50761326172744
23726528,23170.4375,172.67091255098305
25429504,24833.5,174.0781368968441
27254656,26615.875,175.53338821604228
29210816,28526.1875,176.09175927158518
31307392,30573.625,175.26783149459763
33554432,32768.0,175.34411272541863
35962688,35119.8125,177.31244865917222
38543872,37640.5,174.50475324269212
41310336,40342.125,153.1416656117605
44275328,43237.625,172.35934123075634
47453120,46340.9375,178.05276173389453
50859008,49667.0,176.4177447405988
54509312,53231.75,174.91687589794444
58421632,57052.375,177.99187795767995
62614784,61147.25,176.61512520622009
67108864,65536.0,176.02319525485998
71925440,70239.6875,159.75742965451317
77087808,75281.0625,174.88109405325199
82620672,80684.25,177.03608020420629
88550656,86475.25,179.23402777395074
94906240,92681.875,180.7435484447544
101718016,99334.0,179.52107447108997
109018624,106463.5,176.90274568718203
116843264,114104.75,179.74405025272142
125229568,122294.5,180.65965301002498
134217728,131072.0,179.01737844977455
