wss_bytes,wss_kib,latency_ns
512,0.5,1.5337069829305012
640,0.625,1.5360514322916665
768,0.75,1.5357732772827148
896,0.875,1.5337467193603516
1024,1.0,1.5338659286499023
1152,1.125,1.5568733215332031
1280,1.25,1.533667246500651
1408,1.375,1.5337069829305012
1536,1.5,1.5372435251871743
1664,1.625,1.5337864557902017
1792,1.75,1.5365282694498696
2048,2.0,1.533826192220052
2176,2.125,1.5361309051513672
2304,2.25,1.533667246500651
2432,2.375,1.5337069829305012
2688,2.625,1.5340248743693032
2816,2.75,1.5338659286499023
3072,3.0,1.5337864557902017
3200,3.125,1.533667246500651
3456,3.375,1.5361706415812173
3712,3.625,1.5364885330200195
4096,4.0,1.5337069829305012
4352,4.25,1.5337069829305012
4608,4.5,1.534144083658854
4992,4.875,1.533667246500651
5376,5.25,1.533826192220052
5760,5.625,1.5337864557902017
6144,6.0,1.5337069829305012
6528,6.375,1.5337467193603516
7040,6.875,1.5337467193603516
7552,7.375,1.5337069829305012
8192,8.0,1.533667246500651
8704,8.5,1.536289850870768
9344,9.125,1.5337069829305012
9984,9.75,1.5352567036946614
10752,10.5,1.5337467193603516
11520,11.25,1.534104347229004
12416,12.125,1.5357732772827148
13184,12.875,1.5338659286499023
14208,13.875,1.534104347229004
15232,14.875,1.5362103780110676
16384,16.0,1.533826192220052
17536,17.125,1.5337467193603516
18816,18.375,1.5362103780110676
20096,19.625,1.5337069829305012
21504,21.0,1.5361309051513672
23168,22.625,1.533667246500651
24832,24.25,1.5337467193603516
26496,25.875,1.5337864557902017
28416,27.75,1.5360911687215169
30464,29.75,1.5336275100708008
32768,32.0,1.5337069829305012
35072,34.25,1.533667246500651
37632,36.75,1.5380382537841797
40320,39.375,1.533667246500651
43136,42.125,1.5337069829305012
46336,45.25,1.533826192220052
49664,48.5,1.559178034464518
53120,51.875,1.533667246500651
56960,55.625,1.5337069829305012
61056,59.625,1.5337467193603516
65536,64.0,1.5888214111328125
70144,68.5,1.5362103780110676
75264,73.5,1.5337467193603516
80640,78.75,1.5337467193603516
86400,84.375,1.5337069829305012
92672,90.5,1.533667246500651
99328,97.0,1.5337467193603516
106368,103.875,1.5337069829305012
114048,111.375,1.5337467193603516
122240,119.375,1.5381971995035806
131072,128.0,1.5338659286499023
140416,137.125,3.975232442220052
150528,147.0,5.945126215616861
161280,157.5,6.722648938496907
172928,168.875,7.088780403137207
185344,181.0,8.075435956319172
198656,194.0,8.446494738260904
212864,207.875,8.812348047892252
228096,222.75,8.729934692382812
244480,238.75,8.728384971618652
262144,256.0,8.85319709777832
280832,274.25,8.837262789408365
301056,294.0,8.838574091593424
322688,315.125,9.118954340616861
345856,337.75,8.864561716715494
370688,362.0,8.88681411743164
397312,388.0,8.909185727437336
425728,415.75,8.911649386088053
456320,445.625,9.227832158406574
489088,477.625,8.904735247294107
524288,512.0,9.180307388305664
561792,548.625,8.99227460225423
602240,588.125,9.020328521728516
645376,630.25,9.197155634562174
691712,675.5,9.195208549499512
741376,724.0,9.195884068806965
794624,776.0,8.945902188618977
851584,831.625,8.993744850158691
912768,891.375,8.965531984965006
978304,955.375,9.19953982035319
1048576,1024.0,8.954207102457682
1123712,1097.375,8.946100870768229
1204480,1176.25,9.203235308329264
1290880,1260.625,9.239872296651203
1383552,1351.125,8.968512217203775
1482880,1448.125,9.32935873667399
1589248,1552.0,8.949915568033854
1703296,1663.375,8.952498435974121
1825664,1782.875,8.987665176391602
1956608,1910.75,8.951862653096516
2097152,2048.0,8.956074714660645
2247552,2194.875,8.950789769490559
2408960,2352.5,8.955756823221842
2581888,2521.375,9.020725886027018
2767104,2702.25,9.188294410705566
2965760,2896.25,9.305000305175781
3178624,3104.125,9.49704647064209
3406720,3326.875,9.931008021036783
3651328,3565.75,10.020017623901367
3913344,3821.625,10.224223136901855
4194304,4096.0,10.121067365010578
4495232,4389.875,10.636488596598307
4817920,4705.0,11.114358901977539
5163776,5042.75,10.881900787353516
5534336,5404.625,11.886517206827799
5931520,5792.5,11.044899622599283
6357376,6208.375,10.856270790100098
6813568,6653.875,12.320597966512043
7302656,7131.5,12.228250503540039
7826816,7643.375,12.426455815633137
8388608,8192.0,15.620907147725422
8990592,8779.875,16.256093978881836
9635968,9410.125,18.373926480611164
10327552,10085.5,23.0942964553833
11068800,10809.375,20.173708597819008
11863168,11585.125,21.249055862426758
12714752,12416.75,23.57180913289388
13627264,13307.875,25.629599889119465
14605312,14263.0,29.369990030924477
15653632,15286.75,35.26043891906738
16777216,16384.0,40.17515977223714
17981312,17559.875,44.31141250056355
19271936,18820.25,62.37072739690847
20655104,20171.0,75.82009754102424
22137600,21618.75,79.61399007420256
23726464,23170.375,92.33062850550901
25429504,24833.5,94.45338244374197
27254656,26615.875,114.16698856885222
29210752,28526.125,116.61434346731869
31307392,30573.625,126.16813733106012
33554432,32768.0,125.11289119720458
35962624,35119.75,126.75704642686807
38543872,37640.5,123.2084657538644
41310336,40342.125,121.78793865696629
44275328,43237.625,125.89786648973741
47453056,46340.875,127.41095817587244
50859008,49667.0,127.15234241297038
54509312,53231.75,125.30956178643383
58421632,57052.375,128.93563124015432
62614784,61147.25,130.93547790034165
67108864,65536.0,131.22254610061646
71925376,70239.625,131.233516248841
77087744,75281.0,133.15196598134546
82620672,80684.25,133.4874239060494
88550656,86475.25,134.9328080264777
94906240,92681.875,136.03858573120866
101718016,99334.0,136.505716614318
109018624,106463.5,137.38330311953547
116843264,114104.75,129.9287051755076
125229568,122294.5,138.43945118988725
134217728,131072.0,138.94017040729523
143850880,140479.375,138.9872431755066
154175616,150562.125,137.2013489405314
165241344,161368.5,138.76451551914215
177101312,172950.5,140.96730450789133
189812480,185363.75,138.77237836519876
203436032,198668.0,141.20101432005563
218037248,212927.0,142.14962720870972
233686528,228209.5,141.44892990589142
250459136,244589.0,142.94786751270294
268435456,262144.0,140.4754767815272
