wss_bytes,wss_kib,latency_ns,run
512,0.5,1.533667246500651,0
640,0.625,1.540064811706543,0
768,0.75,1.5361706415812173,0
896,0.875,1.5520254770914712,0
1024,1.0,1.5337069829305012,0
1152,1.125,1.5337467193603516,0
1280,1.25,1.5339454015096028,0
1408,1.375,1.538236935933431,0
1536,1.5,1.5336275100708008,0
1664,1.625,1.536289850870768,0
1792,1.75,1.5365282694498696,0
2048,2.0,1.5345017115275064,0
2176,2.125,1.5337069829305012,0
2304,2.25,1.5337467193603516,0
2432,2.375,1.5421708424886067,0
2688,2.625,1.534104347229004,0
2816,2.75,1.5364090601603189,0
3072,3.0,1.5549262364705403,0
3200,3.125,1.5337069829305012,0
3456,3.375,1.5361706415812173,0
3712,3.625,1.5418132146199544,0
4096,4.0,3.3900340398152666,0
4352,4.25,1.5375614166259766,0
4608,4.5,1.533826192220052,0
4992,4.875,1.533667246500651,0
5376,5.25,1.5344619750976562,0
5760,5.625,1.5348593393961587,0
6144,6.0,1.533667246500651,0
6528,6.375,1.5337069829305012,0
7040,6.875,1.5514294306437173,0
7552,7.375,1.5339454015096028,0
8192,8.0,1.5337467193603516,0
8704,8.5,1.534144083658854,0
9344,9.125,1.5353361765543618,0
9984,9.75,1.5342235565185547,0
10752,10.5,1.5346606572469075,0
11520,11.25,1.5337467193603516,0
12416,12.125,1.5339056650797525,0
13184,12.875,1.5337467193603516,0
14208,13.875,1.7364422480265298,0
15232,14.875,1.5337864557902017,0
16384,16.0,1.5337467193603516,0
17536,17.125,1.5393495559692383,0
18816,18.375,1.5337467193603516,0
20096,19.625,1.533667246500651,0
21504,21.0,1.5361309051513672,0
23168,22.625,1.533826192220052,0
24832,24.25,1.5337069829305012,0
26496,25.875,1.5337467193603516,0
28416,27.75,1.5337069829305012,0
30464,29.75,1.5356143315633137,0
32768,32.0,1.533826192220052,0
35072,34.25,1.5366077423095703,0
37632,36.75,1.5339454015096028,0
40320,39.375,1.8100341161092122,0
43136,42.125,1.537640889485677,0
46336,45.25,1.5452305475870767,0
49664,48.5,1.5386740366617837,0
53120,51.875,1.5337069829305012,0
56960,55.625,1.5494823455810547,0
61056,59.625,1.5362103780110676,0
65536,64.0,1.5361706415812173,0
70144,68.5,1.5338659286499023,0
75264,73.5,1.5362103780110676,0
80640,78.75,1.533667246500651,0
86400,84.375,1.5434026718139648,0
92672,90.5,1.5347003936767578,0
99328,97.0,1.7364422480265298,0
106368,103.875,1.5337864557902017,0
114048,111.375,1.5337069829305012,0
122240,119.375,1.5337467193603516,0
131072,128.0,2.6599963506062823,0
140416,137.125,4.035274187723795,0
150528,147.0,9.186943372090656,0
161280,157.5,6.759921709696451,0
172928,168.875,7.113138834635416,0
185344,181.0,8.12673568725586,0
198656,194.0,8.667786916097004,0
212864,207.875,8.574446042378742,0
228096,222.75,8.706370989481607,0
244480,238.75,8.74348481496175,0
262144,256.0,9.094913800557453,0
280832,274.25,9.090264638264973,0
301056,294.0,9.098728497823078,0
322688,315.125,9.159406026204426,0
345856,337.75,8.949875831604004,0
370688,362.0,8.931398391723633,0
397312,388.0,9.205818176269531,0
425728,415.75,8.912801742553711,0
456320,445.625,8.923252423604328,0
489088,477.625,8.963386217753092,0
524288,512.0,12.163440386454264,0
561792,548.625,8.936166763305664,0
602240,588.125,9.371558825174967,0
645376,630.25,9.214599927266438,0
691712,675.5,8.955001831054688,0
741376,724.0,8.940060933430988,0
794624,776.0,9.479641914367676,0
851584,831.625,8.997996648152668,0
912768,891.375,9.31711991628011,0
978304,955.375,14.793594678243,0
1048576,1024.0,9.198586146036783,0
1123712,1097.375,8.948604265848795,0
1204480,1176.25,8.947610855102539,0
1290880,1260.625,9.232640266418457,0
1383552,1351.125,9.3462069829305,0
1482880,1448.125,8.948405583699543,0
1589248,1552.0,8.973399798075357,0
1703296,1663.375,8.957902590433756,0
1825664,1782.875,9.04989242553711,0
1956608,1910.75,9.224692980448404,0
2097152,2048.0,9.002685546875,0
2247552,2194.875,9.290456771850586,0
2408960,2352.5,9.007891019185383,0
2581888,2521.375,9.206970532735188,0
2767104,2702.25,9.121020634969074,0
2965760,2896.25,9.357134501139322,0
3178624,3104.125,9.568174680074055,0
3406720,3326.875,9.9794069925944,0
3651328,3565.75,10.109980901082356,0
3913344,3821.625,10.008454322814941,0
4194304,4096.0,10.3761355082194,0
4495232,4389.875,10.464032491048176,0
4817920,4705.0,33.47611427307129,0
5163776,5042.75,11.087656021118164,0
5534336,5404.625,10.975519816080729,0
5931520,5792.5,11.201143264770508,0
6357376,6208.375,10.850787162780762,0
6813568,6653.875,14.928976694742838,0
7302656,7131.5,14.308174451192219,0
7826816,7643.375,12.062986691792805,0
8388608,8192.0,17.12199052174886,0
8990592,8779.875,13.0464235941569,0
9635968,9410.125,19.2489226659139,0
10327552,10085.5,19.978125890096027,0
11068800,10809.375,119.41472689310709,0
11863168,11585.125,73.14650217692056,0
12714752,12416.75,25.74054400126139,0
13627264,13307.875,25.960882504781086,0
14605312,14263.0,49.35375849405924,0
15653632,15286.75,112.58963743845621,0
16777216,16384.0,100.4046599070231,0
17981312,17559.875,51.805452238412855,0
19271936,18820.25,92.52722023706734,0
20655104,20171.0,78.81570902120205,0
22137600,21618.75,100.11548978510166,0
23726464,23170.375,105.14178036249594,0
25429504,24833.5,186.98010520902545,0
27254656,26615.875,104.90369058409689,0
29210752,28526.125,121.22620693457897,0
31307392,30573.625,122.43790007590965,0
33554432,32768.0,120.17989158630371,0
35962624,35119.75,130.71917851897197,0
38543872,37640.5,124.9180673908423,0
41310336,40342.125,124.35964371402513,0
44275328,43237.625,123.42981023953867,0
47453056,46340.875,124.07892128169784,0
50859008,49667.0,125.42399568627056,0
54509312,53231.75,125.14429338850091,0
58421632,57052.375,127.67123657209713,0
62614784,61147.25,129.6684182444836,0
67108864,65536.0,130.0797363122304,0
71925376,70239.625,129.56601019367628,0
77087744,75281.0,128.67793009136878,0
82620672,80684.25,132.3499200458371,0
88550656,86475.25,136.99740406214494,0
94906240,92681.875,134.69194438637544,0
101718016,99334.0,132.37555347782902,0
109018624,106463.5,134.6892557856292,0
116843264,114104.75,136.2598931391258,0
125229568,122294.5,135.93503199925863,0
134217728,131072.0,137.7183496952057,0
143850880,140479.375,136.8601769208908,0
154175616,150562.125,137.4188760916392,0
165241344,161368.5,138.66506020228067,0
177101312,172950.5,137.91058460871378,0
189812480,185363.75,137.98819482326508,0
203436032,198668.0,139.05933499336243,0
218037248,212927.0,140.3871327638626,0
233686528,228209.5,139.15934165318805,0
250459136,244589.0,140.7213012377421,0
268435456,262144.0,140.61294496059418,0
512,0.5,1.5348593393961587,1
640,0.625,1.533667246500651,1
768,0.75,1.533667246500651,1
896,0.875,1.541296641031901,1
1024,1.0,1.5336275100708008,1
1152,1.125,1.5337467193603516,1
1280,1.25,1.5336275100708008,1
1408,1.375,1.5361706415812173,1
1536,1.5,1.7231305440266926,1
1664,1.625,1.5337069829305012,1
1792,1.75,1.5337467193603516,1
2048,2.0,1.5345017115275064,1
2176,2.125,1.5343030293782551,1
2304,2.25,1.5343030293782551,1
2432,2.375,1.5337069829305012,1
2688,2.625,1.5336275100708008,1
2816,2.75,1.536726951599121,1
3072,3.0,1.7585357030232747,1
3200,3.125,1.5337467193603516,1
3456,3.375,1.5337864557902017,1
3712,3.625,1.5343030293782551,1
4096,4.0,1.533826192220052,1
4352,4.25,1.536250114440918,1
4608,4.5,1.533667246500651,1
4992,4.875,1.533667246500651,1
5376,5.25,1.5346209208170571,1
5760,5.625,1.5337467193603516,1
6144,6.0,1.5337069829305012,1
6528,6.375,1.5343030293782551,1
7040,6.875,1.5360911687215169,1
7552,7.375,1.5831788380940754,1
8192,8.0,1.5337467193603516,1
8704,8.5,1.5342632929484048,1
9344,9.125,1.5378395716349282,1
9984,9.75,1.5337864557902017,1
10752,10.5,1.5355348587036133,1
11520,11.25,1.5337467193603516,1
12416,12.125,1.5346209208170571,1
13184,12.875,1.5337864557902017,1
14208,13.875,1.5337467193603516,1
15232,14.875,1.5341838200887044,1
16384,16.0,1.536289850870768,1
17536,17.125,1.5339056650797525,1
18816,18.375,1.5465021133422852,1
20096,19.625,1.5337069829305012,1
21504,21.0,1.534104347229004,1
23168,22.625,1.535971959431966,1
24832,24.25,1.5337467193603516,1
26496,25.875,1.5338659286499023,1
28416,27.75,1.5361706415812173,1
30464,29.75,1.5366872151692708,1
32768,32.0,1.5361706415812173,1
35072,34.25,1.5337467193603516,1
37632,36.75,1.542846361796061,1
40320,39.375,1.5337467193603516,1
43136,42.125,1.5365282694498696,1
46336,45.25,1.53656800587972,1
49664,48.5,1.7461776733398438,1
53120,51.875,1.5337069829305012,1
56960,55.625,1.5337864557902017,1
61056,59.625,1.5343030293782551,1
65536,64.0,1.5377203623453775,1
70144,68.5,1.5505949656168618,1
75264,73.5,1.5353759129842122,1
80640,78.75,1.5339454015096028,1
86400,84.375,1.5337467193603516,1
92672,90.5,1.5433231989542642,1
99328,97.0,1.533667246500651,1
106368,103.875,1.5364090601603189,1
114048,111.375,1.7580191294352212,1
122240,119.375,1.533826192220052,1
131072,128.0,1.534104347229004,1
140416,137.125,3.844658533732096,1
150528,147.0,5.93264897664388,1
161280,157.5,6.779789924621582,1
172928,168.875,8.47943623860677,1
185344,181.0,8.39861234029134,1
198656,194.0,10.114312171936035,1
212864,207.875,8.992314338684082,1
228096,222.75,8.77543290456136,1
244480,238.75,9.087165196736652,1
262144,256.0,8.939385414123535,1
280832,274.25,8.887052536010742,1
301056,294.0,8.86225700378418,1
322688,315.125,8.968472480773926,1
345856,337.75,8.904417355855305,1
370688,362.0,8.882641792297363,1
397312,388.0,8.892019589742024,1
425728,415.75,9.180863698323567,1
456320,445.625,9.163896242777506,1
489088,477.625,8.93278916676839,1
524288,512.0,8.95237922668457,1
561792,548.625,8.97844632466634,1
602240,588.125,9.233077367146809,1
645376,630.25,8.930365244547525,1
691712,675.5,9.04695192972819,1
741376,724.0,9.24376646677653,1
794624,776.0,8.963743845621744,1
851584,831.625,8.944471677144367,1
912768,891.375,9.232322374979654,1
978304,955.375,9.027838706970215,1
1048576,1024.0,10.43407122294108,1
1123712,1097.375,9.111642837524414,1
1204480,1176.25,9.19965902964274,1
1290880,1260.625,9.010910987854004,1
1383552,1351.125,9.0864896774292,1
1482880,1448.125,8.950114250183105,1
1589248,1552.0,9.18126106262207,1
1703296,1663.375,9.17228062947591,1
1825664,1782.875,9.055852890014648,1
1956608,1910.75,9.264469146728516,1
2097152,2048.0,9.042143821716309,1
2247552,2194.875,9.058833122253418,1
2408960,2352.5,9.017268816630045,1
2581888,2521.375,8.968830108642578,1
2767104,2702.25,9.118398030598957,1
2965760,2896.25,9.597261746724445,1
3178624,3104.125,9.832382202148438,1
3406720,3326.875,9.688695271809895,1
3651328,3565.75,10.326067606608072,1
3913344,3821.625,10.3074312210083,1
4194304,4096.0,10.192195574442545,1
4495232,4389.875,10.491689046223957,1
4817920,4705.0,11.88039779663086,1
5163776,5042.75,11.929949124654133,1
5534336,5404.625,11.850794156392414,1
5931520,5792.5,11.596043904622395,1
6357376,6208.375,23.48224322001139,1
6813568,6653.875,13.113300005594889,1
7302656,7131.5,14.68058427174886,1
7826816,7643.375,15.06197452545166,1
8388608,8192.0,16.42751693725586,1
8990592,8779.875,15.09114106496175,1
9635968,9410.125,19.9819008509318,1
10327552,10085.5,19.627134005228676,1
11068800,10809.375,47.58807023366292,1
11863168,11585.125,21.680633227030434,1
12714752,12416.75,24.26322301228841,1
13627264,13307.875,25.482853253682453,1
14605312,14263.0,66.13504886627197,1
15653632,15286.75,90.28120835622151,1
16777216,16384.0,37.93168067932129,1
17981312,17559.875,49.76277593092206,1
19271936,18820.25,61.16846105480356,1
20655104,20171.0,85.90916156445721,1
22137600,21618.75,79.58944661270117,1
23726464,23170.375,110.8828802583759,1
25429504,24833.5,106.96271019154233,1
27254656,26615.875,97.38744577562576,1
29210752,28526.125,105.89192180559633,1
31307392,30573.625,121.67656762977892,1
33554432,32768.0,122.23702669143677,1
35962624,35119.75,123.23661365755734,1
38543872,37640.5,124.81669373192881,1
41310336,40342.125,123.1862166407942,1
44275328,43237.625,123.89569799836754,1
47453056,46340.875,126.08120890394638,1
50859008,49667.0,124.48183548264775,1
54509312,53231.75,126.37761171277792,1
58421632,57052.375,128.8659424417768,1
62614784,61147.25,129.08120868068474,1
67108864,65536.0,131.45310680071512,1
71925376,70239.625,131.0450523980113,1
77087744,75281.0,131.71086357558124,1
82620672,80684.25,154.7114826985027,1
88550656,86475.25,132.22600330971386,1
94906240,92681.875,135.49562880867123,1
101718016,99334.0,141.85087919921676,1
109018624,106463.5,134.67934922140765,1
116843264,114104.75,136.10200641661865,1
125229568,122294.5,137.86160043821812,1
134217728,131072.0,139.48002954324085,1
143850880,140479.375,140.12915392716724,1
154175616,150562.125,138.51417104403177,1
165241344,161368.5,139.2138401667277,1
177101312,172950.5,139.01695609092712,1
189812480,185363.75,140.07842044035593,1
203436032,198668.0,142.17343926429749,1
218037248,212927.0,132.7779839436213,1
233686528,228209.5,141.07449352741241,1
250459136,244589.0,137.9596988360087,1
268435456,262144.0,140.75523614883423,1
512,0.5,1.5600919723510742,2
640,0.625,1.5337467193603516,2
768,0.75,1.533667246500651,2
896,0.875,1.5616814295450845,2
1024,1.0,1.5337069829305012,2
1152,1.125,1.5339454015096028,2
1280,1.25,1.5337864557902017,2
1408,1.375,1.5337069829305012,2
1536,1.5,1.5337864557902017,2
1664,1.625,1.5342235565185547,2
1792,1.75,1.5337069829305012,2
2048,2.0,1.5337069829305012,2
2176,2.125,1.5361309051513672,2
2304,2.25,1.5338659286499023,2
2432,2.375,1.5337069829305012,2
2688,2.625,1.533667246500651,2
2816,2.75,1.5337069829305012,2
3072,3.0,1.533826192220052,2
3200,3.125,1.5337467193603516,2
3456,3.375,1.5337069829305012,2
3712,3.625,1.5361706415812173,2
4096,4.0,1.545866330464681,2
4352,4.25,1.5340248743693032,2
4608,4.5,1.5361706415812173,2
4992,4.875,1.5337069829305012,2
5376,5.25,1.5337467193603516,2
5760,5.625,1.5337069829305012,2
6144,6.0,1.5414158503214517,2
6528,6.375,1.8216768900553384,2
7040,6.875,1.5341838200887044,2
7552,7.375,1.5339454015096028,2
8192,8.0,1.534104347229004,2
8704,8.5,1.5347003936767578,2
9344,9.125,1.8756786982218423,2
9984,9.75,1.5337864557902017,2
10752,10.5,1.5340646107991536,2
11520,11.25,1.5337467193603516,2
12416,12.125,1.5363295873006184,2
13184,12.875,1.5362103780110676,2
14208,13.875,1.5337069829305012,2
15232,14.875,1.5359322230021157,2
16384,16.0,1.601417859395345,2
17536,17.125,1.533826192220052,2
18816,18.375,1.5337467193603516,2
20096,19.625,1.533667246500651,2
21504,21.0,1.5361706415812173,2
23168,22.625,1.5349388122558594,2
24832,24.25,1.533826192220052,2
26496,25.875,1.5356938044230142,2
28416,27.75,1.5337467193603516,2
30464,29.75,1.5337069829305012,2
32768,32.0,1.533667246500651,2
35072,34.25,1.5338659286499023,2
37632,36.75,1.5343427658081055,2
40320,39.375,1.5395879745483398,2
43136,42.125,1.5362103780110676,2
46336,45.25,1.5348593393961587,2
49664,48.5,1.533667246500651,2
53120,51.875,1.5357732772827148,2
56960,55.625,1.5337069829305012,2
61056,59.625,1.5345414479573567,2
65536,64.0,1.5336275100708008,2
70144,68.5,1.5337069829305012,2
75264,73.5,1.6538302103678384,2
80640,78.75,1.6392072041829426,2
86400,84.375,1.5337864557902017,2
92672,90.5,1.5337467193603516,2
99328,97.0,1.5360514322916665,2
106368,103.875,1.5401840209960938,2
114048,111.375,1.5338659286499023,2
122240,119.375,1.5338659286499023,2
131072,128.0,1.5364090601603189,2
140416,137.125,3.9283434549967446,2
150528,147.0,5.752921104431152,2
161280,157.5,6.943861643473307,2
172928,168.875,7.632176081339518,2
185344,181.0,7.966279983520507,2
198656,194.0,8.757988611857096,2
212864,207.875,8.861780166625977,2
228096,222.75,8.970300356547037,2
244480,238.75,9.025216102600098,2
262144,256.0,9.076237678527832,2
280832,274.25,8.909821510314941,2
301056,294.0,8.88081391652425,2
322688,315.125,8.921384811401367,2
345856,337.75,8.970061937967936,2
370688,362.0,8.982857068379719,2
397312,388.0,9.1552734375,2
425728,415.75,8.91268253326416,2
456320,445.625,9.098529815673828,2
489088,477.625,9.203235308329264,2
524288,512.0,8.938789367675781,2
561792,548.625,9.000420570373535,2
602240,588.125,8.930683135986328,2
645376,630.25,9.008447329203287,2
691712,675.5,8.941054344177246,2
741376,724.0,8.993228276570637,2
794624,776.0,9.00411605834961,2
851584,831.625,8.965929349263508,2
912768,891.375,9.090185165405273,2
978304,955.375,8.948922157287598,2
1048576,1024.0,9.203473726908365,2
1123712,1097.375,9.013215700785318,2
1204480,1176.25,8.992910385131836,2
1290880,1260.625,8.949995040893555,2
1383552,1351.125,8.988579114278156,2
1482880,1448.125,10.190049807230631,2
1589248,1552.0,8.951743443806965,2
1703296,1663.375,9.087761243184406,2
1825664,1782.875,8.965651194254557,2
1956608,1910.75,8.974989255269367,2
2097152,2048.0,8.956591288248697,2
2247552,2194.875,9.038885434468586,2
2408960,2352.5,9.145776430765787,2
2581888,2521.375,9.209831555684406,2
2767104,2702.25,9.158770243326822,2
2965760,2896.25,9.540478388468424,2
3178624,3104.125,9.59948698679606,2
3406720,3326.875,9.991089502970377,2
3651328,3565.75,10.100324948628742,2
3913344,3821.625,10.058323542277018,2
4194304,4096.0,10.164697964986164,2
4495232,4389.875,10.475397109985352,2
4817920,4705.0,10.428826014200846,2
5163776,5042.75,10.703802108764648,2
5534336,5404.625,13.622363408406574,2
5931520,5792.5,17.72161324818929,2
6357376,6208.375,11.663635571797688,2
6813568,6653.875,11.239409446716309,2
7302656,7131.5,11.300921440124512,2
7826816,7643.375,14.326890309651692,2
8388608,8192.0,14.7932767868042,2
8990592,8779.875,15.050053596496582,2
9635968,9410.125,17.65783627827962,2
10327552,10085.5,22.8274663289388,2
11068800,10809.375,51.5216588973999,2
11863168,11585.125,23.574392000834145,2
